Position,Const,Created,Modified,Description,Name,Known For,Birth Date
434,nm0685856,2024-01-08,2024-03-09,"6669 points","Michael Pitt","The Dreamers","10 апреля 1981 г."
435,nm0504897,2024-01-08,2024-01-08,"6650 points","Tony Leung Chiu-wai","Fa yeung nin wah","27 июня 1962 г."
436,nm0158856,2024-01-08,2024-01-08,"6601 points","Choi Min-sik","Oldeuboi","22 января 1962 г."
437,nm0949167,2024-01-08,2024-01-08,"6601 points","Yoo Ji-tae","Oldeuboi","13 апреля 1976 г."
438,nm1785339,2024-01-08,2024-01-08,"6581 points","Rami Malek","Bohemian Rhapsody","12 мая 1981 г."
439,nm0000867,2024-06-23,2024-06-23,"6549 points","Jason Bateman","Arrested Development","14 января 1969 г."
440,nm0206359,2024-06-23,2024-06-23,"6549 points","Charlie Day","It's Always Sunny in Philadelphia","9 февраля 1976 г."
441,nm0898546,2024-01-08,2024-01-08,"6512 points","Pruitt Taylor Vince","Identity","5 июля 1960 г."
442,nm0003909,2024-01-08,2024-01-08,"6507 points","Michael Lonsdale","The Day of the Jackal","24 мая 1931 г."
443,nm0176869,2024-01-08,2024-04-21,"6470 points","Steve Coogan","Philomena","14 октября 1965 г."
444,nm0201857,2024-01-08,2024-01-10,"6404 points","Ricardo Darín","Nueve reinas","16 января 1957 г."
445,nm0000336,2024-01-08,2024-01-08,"6400 points","James Coburn","Charade","31 августа 1928 г."
446,nm0000537,2024-01-08,2024-01-08,"6299 points","Steve McQueen","The Great Escape","24 марта 1930 г."
447,nm5052065,2024-02-02,2024-02-02,"6244 points","Ansel Elgort","The Fault in Our Stars","14 марта 1994 г."
448,nm0760796,2024-01-08,2024-03-08,"6192 points","Hiroyuki Sanada","Tasogare Seibei","12 октября 1960 г."
449,nm0000051,2024-01-08,2024-01-08,"6049 points","James Mason","Lolita","15 мая 1909 г."
450,nm1726032,2024-01-08,2024-01-08,"5924 points","Rob Morgan","Mudbound","24 февраля 1973 г."
451,nm1347153,2024-01-08,2024-01-08,"5924 points","Tyler Perry","Diary of a Mad Black Woman","14 сентября 1969 г."
452,nm0001069,2024-01-08,2024-01-08,"5907 points","Bud Cort","Harold and Maude","29 марта 1948 г."
453,nm0000063,2024-01-08,2024-01-08,"5827 points","Anthony Quinn","Alexis Zorbas","21 апреля 1915 г."
454,nm1256532,2024-01-08,2024-01-08,"5816 points","Jon Bernthal","The Wolf of Wall Street","20 сентября 1976 г."
455,nm0001722,2024-01-08,2024-01-08,"5810 points","Rufus Sewell","Dark City","29 октября 1967 г."
456,nm0001445,2024-01-08,2024-01-08,"5808 points","Martin Landau","Ed Wood","20 июня 1928 г."
457,nm0000345,2024-01-08,2024-01-08,"5808 points","Billy Crystal","Forget Paris","14 марта 1948 г."
458,nm0774386,2024-01-08,2024-01-08,"5768 points","Matthias Schoenaerts","De rouille et d'os","8 декабря 1977 г."
459,nm0000022,2024-01-08,2024-01-08,"5737 points","Clark Gable","It Happened One Night","1 февраля 1901 г."
460,nm2018237,2024-01-08,2024-01-08,"5672 points","Taylor Kitsch","X-Men Origins: Wolverine","8 апреля 1981 г."
461,nm0302330,2024-01-08,2024-03-04,"5663 points","John Gallagher Jr.","10 Cloverfield Lane","17 июня 1984 г."
462,nm0085038,2024-01-08,2024-01-08,"5645 points","Gunnar Björnstrand","Persona","13 ноября 1909 г."
